Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
37864,"1. Provides a centralized source for event communication.  
2. Provides an elevated level of attendee engagement.","1. Provide a centralized source for event communication.  
2. Enhance attendee engagement for the event.",The McDonald's U.S Turnaround Summit Event App provides a centralized source for event communication. The app also provides an elevated level of attendee engagement. Credentials will be required for access to each event application.
37873,"1. Provide conference schedule.  
2. Give speaker information.  
3. Show location maps.  
4. Share attendee information.","1. Provide full conference schedule.  
2. Display speaker information.  
3. Show location maps.  
4. Offer other attendee information.","FTS Sales Conference 2015 android-release-v3.20 APK description
The 2015 Fifth Third Securities “Sailing Beyond Limits” Sales Conference will be held February 5-7 for the top Investment and Insurance producers within the Bank. The event serves as an opportunity to learn, network, and celebrate a successful year. Join other top producers for keynote speakers, breakout session, and networking opportunities to help focus on leadership, perseverance, and what it takes to succeed.
The Fifth Third Securities Conference mobile app by CrowdCompass and Dittman Incentive Marketing, is designed to provide conference attendees with all the information they need at the event, including full conference schedule, speaker information, location maps and other attendee information.
We look forward to seeing you in Fort Lauderdale!"
37882,"1. Digital event guide  
2. Connect with Home Solutions leaders  
3. Hear from AT&T leadership  
4. Learn about 2015 strategic priorities","1. Provide a digital event guide for the 2015 Home Solutions Kickoff.  
2. Connect users with Home Solutions leaders.  
3. Deliver strategic priorities updates from AT&T leadership.","2015 HOME SOLUTIONS KICKOFF android-release-v3.19 APK description
This app was designed as a digital event guide for the 2015 Home Solutions Kickoff. The 2015 Home Solutions Kickoff will be held on January 27-29 at the Renaissance Dallas Hotel. You’ll connect with our Home Solutions leaders and hear directly from AT&T leadership about our strategic priorities for 2015 and beyond. Let’s build off our tremendous success in 2014 to make 2015 even better!"
37900,"1. Daily schedule  
2. Map  
3. Sponsor vendor, and contestant information","1. View daily schedule  
2. Access map  
3. Browse sponsor vendor information  
4. View contestant information","Welcome to the 2016 My Nana’s Best Tasting Salsa Challenge App- presented by the Arizona Hemophilia Association. Let this app be a one stop shop for the 2016 Salsa Challenge. App features include:
-Daily schedule
-Map
-Sponsor vendor, and contestant information
-and more!"
37914,"1. Simple one touch game play  
2. Increasingly difficult platform levels  
3. Use Wings, Jetpacks and other things  
4. Earn achievements for completing levels","1. Jump, run, bounce, and fly through levels
2. Simple one-touch gameplay
3. Navigate increasingly difficult platform levels
4. Use wings, jetpacks, and other items to progress
5. Earn achievements for special level completions","Jump, run, bounce and fly your way through this action platformer
Game Features
• Simple one touch game play
• Increasingly difficult platform levels
• Use Wings, Jetpacks and other things to get through the levels
• Earn achievements for completing levels in special ways"
38413,"1. Pass obstacles  
2. Change color  
3. Test reflexes","1. Change color of the square to pass obstacles.  
2. Test reflexes in the game.","Colot shift 1.2.2 APK description
In this game you are a square that changes color, use it to pass the obstacles according to their color.
Test your reflexes in this game!"
38439,"1. Use canon to save pirates.  
2. Physics puzzle game.  
3. Make pirates happier.  
4. Hurry to complete the goal.  
5. Limited time challenge.","1. Solve physics puzzles to save pirates.  
2. Use canon to save pirates.  
3. Complete tasks under limited time.","Sad Pirates is fun and challenging physics puzzle game. Our pirates are pretty sad - they are going to die soon. Make them a bit happier - save them. It is not so easy as you can think. Use canon to save pirates, that is your goal, brave captain! You should hurry, since your crew times is very limited. Good luck!"
38546,"1. Hold finger to make bird fly higher.  
2. Let go to make bird go down.","1. Make the bird fly higher by holding finger on screen.  
2. Make the bird go down by letting go of the screen.","Hold your finger on screen to make the bird fly higher, let it go to make the bird go down!
What's New in the Latest Version 1.1
Last updated on Jul 26, 2016
Minor bug fixes and improvements. Install or update to the newest version to check it out!"
38690,"1. Track your steps  
2. Track water intake  
3. Record goals  
4. Record achievements  
5. Find local healthy resources","1. Track steps and water intake.  
2. Record goals and achievements.  
3. Find local healthy resources.","The Small Steps to a Healthier You App from EmblemHealth helps New Yorkers live healthier right in their neighborhood. Track your steps and water intake, record goals and achievements, and find local healthy resources. It’s the perfect app for the start of your journey to a healthier you. And you’ll know where to go next, because this app will be there for you – every small step of the way."
38838,"1. Access conference program without wifi.  
2. Stay informed about hot issues and changes.  
3. Browse and build personal schedule.  
4. Bookmark sessions or speakers.  
5. Access session handouts.  
6. Take notes and email trip reports.  
7. View exhibitors, maps, and related conference info.","1. Access conference program without Wi-Fi.  
2. View and manage conference schedule.  
3. Access animated maps of the conference.  
4. Stay updated on event program changes.  
5. Receive notifications about upcoming sessions.  
6. Browse the entire event program.  
7. Build a personal conference schedule.  
8. Bookmark sessions and speakers.  
9. Access session handouts.  
10. Take and organize notes during sessions.  
11. Email notes as part of a trip report.  
12. View information about exhibitors.  
13. Access related conference information.","EventPilot® conference app is your full featured guide to manage your conference attendance. App features include: • Native app: No wifi connection required to access the conference program, schedule or animated maps. • Now: Stay informed about hot issues, event program changes, your upcoming sessions and organizer messages. • Program: Browse the entire event program to build your personal schedule, bookmark sessions or speakers, or access session handouts as available. • Take notes and email them as part of your trip report for reference. • Exhibitors, Maps, related conference info and much more. Note: Continued use of GPS running in the background can dramatically decrease battery life.
ICPS15,ICPS2015,Psychology,psychological,integrative science,conference app,event,ativ,eventpilot"
38934,"1. Guess the name  
2. Guess looking at photos, logos, things  
3. Multi-player game  
4. Place a challenge  
5. Earn coins  
6. Recollect and learn","1. Guess names based on photos, logos, and objects.  
2. Play a multi-player guessing game.  
3. Challenge others or solve challenges.  
4. Earn coins through gameplay.  
5. Recollect and learn new things.","Zembow Guessing is a multi-player game where you try to guess the name looking on the various photos, logos, things,etc of different categories displayed on the screen.
This guessing game can scratch your brain and you will enjoy it too.
Multi-Player game where you can place a challenge to anyone and even solve it
Earn coins and have fun
Surely a knowledgeable app where you can recollect and learn some new things"
39045,"1. Keep up to date on the used Fire Truck marketplace.  
2. Send push notifications for new used apparatus.","1. Keep up to date on the used Fire Truck marketplace.  
2. Send push notifications when another used apparatus hits the market.",Keep up to date on the used Fire Truck marketplace.  We even send push notifications when another used apparatus hits the market
39367,"1. race in the 60 meter sprint  
2. compete for world records  
3. Hurdle Races  
4. Training / Practice mode  
5. Compete against your personal best time  
6. Championship mode","1. Race in the 60 meter sprint.
2. Compete for world records.
3. Participate in hurdle races.
4. Train or practice in training/practice mode.
5. Compete against personal best time in Time Trial mode.
6. Participate in championship mode.","100 Inch Sprint and many more races
Use you fingers to race in the 60 meter sprint and compete for world records to be the best
Uses Swarm Connect for high-scores
Hurdle Races
Training / Practice mode
Compete against your personal best time in Time Trial mode
Championship mode
Athletics Finger Sprinting Sports Game"
39401,"1. Help get ready for Christmas party  
2. Help sleep well  
3. Feed with favorite foods  
4. Dress up well  
5. Take care of when injured  
6. Play with her  
7. Mini games included","1. Sleep well  
2. Feed with favorite foods  
3. Dress up well  
4. Take care of when injured  
5. Play with her  
6. Participate in mini games","Help a little girl in this game to get ready for Christmas party. Help her to sleep well, feed with her favorite foods, dress up well, take care of her when she got injured & play with her. Different mini games included."
39560,"1. feature choirs from around the globe  
2. provide leading presenters from our field  
3. showcase four honor choirs  
4. offer professional development opportunities  
5. facilitate networking","1. Feature choirs from around the globe.  
2. Present leading speakers from the field.  
3. Organize four honor choirs.  
4. Provide professional development opportunities.  
5. Facilitate networking for attendees.","The ACDA 2015 National Conference will take place on February 25-28, 2015 in Salt Lake City, Utah. The conference will feature choirs from around the globe, leading presenters from our field, four honor choirs, and an unrivalled opportunity for professional development and networking."
39747,"1. Listen to messages  
2. Stay up to date with events  
3. Download and create favorites  
4. Receive push notifications","1. Listen to messages  
2. Stay up to date with events  
3. Download and create favorites  
4. Receive push notifications","With this app you'll be able to:
- Listen to messages
- Stay up to date with events
- Download and create favorites
- Receive push notifications
- And more"
39776,"1. Read about apostolates.  
2. Check schedule for Spiritual Exercises.  
3. Check schedule for Feast Day.  
4. Watch videos about the Religious Family.  
5. See photos from missions and parishes.","1. Read about apostolates.  
2. Check schedule for Spiritual Exercises or Feast Day.  
3. Watch videos about the Religious Family.  
4. View photos from missions and parishes.","Verbum Caro Factum Est.
Stay up-to-date with the Institute of the Incarnate Word (IVE) as we strive to discern and employ the best means of prolonging Christ, true God and true man, within the individual lives of men and their culture. Read about our apostolates, check the schedule for the next Spiritual Exercises or Feast Day near you, watch videos about the Religious Family, and see photos from our missions and parishes around the world."
39885,"1. Provide breaking news  
2. Cover developing stories  
3. Show local weather  
4. Offer Oklahoma sports  
5. Stream live video","1. Provide breaking news  
2. Provide developing stories  
3. Provide local weather updates  
4. Provide Oklahoma sports updates  
5. Provide live video streaming","News 9 is your leading source for breaking news, developing stories, local weather, Oklahoma sports and live video."
39963,"1. Navigate the meeting paperlessly  
2. Provide meeting agenda  
3. Introduction to the Teva Respiratory team  
4. Ability to ask questions live  
5. Take notes","1. Navigate the meeting paperlessly.
2. Provide meeting agenda.
3. Ask questions live.
4. Take notes.","This app will allow attendees of the 2015 Teva Respiratory Speaker Training navigate the meeting paperlessly. The app will provide meeting agenda, introduction to the Teva Respiratory team, the ability to ask questions live and take notes."
39969,"1. Exploring realms of creativity.  
2. Project creative visions through photographs.  
3. Developing applications.  
4. Developing online communication mediums.","1. Explore realms of creativity in photography  
2. Develop applications  
3. Use online communication mediums","What drives me? Creativity. And my medium of expression? Photography. Exploring the realms of creativity, in various facets of photography, I project my creative visions through my photographs. 

Apart from my photographic explorations, I indulge in developing applications and other online communication mediums. 

Get to know me through my photographs and connect with me for some creative juice."
40006,1. Good information about Eye surgery,1. Provide information about eye plastic surgeries.,"Eye Plastic surgeries
good information about Eye surgery"
40161,1. Tapping the screen changes where Swishy swims,1. Tapping the screen changes where Swishy swims.,"Knowing the dangers in the sea, Swishy never give up swimming.
Control - Tapping the screen changes where Swishy swims."
40194,"1. Edit picture frames with glass theme.  
2. Create photo collages.  
3. Store images to your phone.  
4. Share images to social networking sites.","1. Edit and collage picture frames.  
2. Store images to phone.  
3. Share images to social networking sites.","- Glass and Bottle Photo Frames App is an application to edit and collage picture frames with beautiful glass theme and romantic and very easy to use.
- After you're done editing the photos with photo frames, you can store images to your phone, then share that image to multiple social networking sites."
40455,"1. Swing propeller manually  
2. Avoid anchors moving  
3. Control direction by tapping  
4. Try to come out safely  
5. Cross obstacles","1. Control character movement direction by tapping.  
2. Avoid moving obstacles to safely navigate.  
3. Cross obstacles to progress in the game.","This Time Fatty finds himself in another trouble. He tries to swing propeller manually. But he faces obstacles when he try to fly in air.

You as a fatty, try to avoid anchors which are moving as they may hurt you.

Controls are simple. Just tapping once will move fatty in one direction, tapping again will change his direction. Just Control the direction and try to come out safely from propeller trouble.


Let’s see, how many obstacles you can cross."
40458,"1. Pour buckets on you  
2. Tap left for downward bucket  
3. Tap right for upward bucket","1. Tap left for downward-facing bucket  
2. Tap right for upward-facing bucket","You as a Ice man try to pour as many as buckets as you can on you.

Controls are simple - tap left for bucket which is facing downward and tap right for bucket which is facing upward.


Lets see, how far you can go."
40468,"1. Move magnifier by dragging.  
2. Rotate magnifier with left or right button.  
3. Prevent magnifier from touching the wire.","1. Move magnifier by dragging anywhere.  
2. Rotate magnifier using left or right buttons.","Take the magnifier from one end of electric wire to another. But make sure that magnifier don’t touch the wire or else the wire will destroy the magnifier.


Game play is simple. Drag anywhere to move magnifier. Tap left or right button to rotate the magnifier.


Enjoy!"
40609,"1. Hand-crafted martini bar  
2. Small-plate or tapas menu  
3. Offer main dishes for traditional fare","1. Browse a martini bar and tapas menu
2. Order main dishes for traditional fare","315 Martinis and Tapas 1.1 APK description
The Greenbriar Inn was built in 1908 and is on the National Registry of Historic Places. It has been totally restored and decorated with an eye to elegant simplicity and comfort with a mix of antique and replica furnishings. The main floor is occupied by our restaurant, the “315”.
The restaurant features a hand-crafted martini bar and small-plate or “tapas” menu. We also offer main dishes for those wishing traditional fare."
40678,"1. Avoid obstacles  
2. Gain points  
3. Gain high score  
4. One touch controls  
5. Tap to go higher or lower  
6. Avoid soccer balls, cones, flags","1. Avoid obstacles.  
2. Gain points and high score.  
3. Simple one-touch controls.  
4. Tap screen to go higher or lower.  
5. Avoid soccer balls, cones, and flags.","Avoid obstacles.To gain points and gain the best high score.
Simple one touch controls:
Tap on the screen anywhere to go higher or lower to try to avoid the soccer balls,cones and flags
For phone and Tablet"
40958,"1. Explore the desert.  
2. Find water in the desert.  
3. Realistic car controls.  
4. Accelerometer supported.  
5. Play 2 game modes.  
6. Play over 10 levels.  
7. Excellent gameplay.  
8. Great 3D graphics.  
9. Car racing fun.","1. Explore the desert in a rally car.  
2. Play in 2 game modes.  
3. Complete over 10 levels.  
4. Experience excellent gameplay.  
5. Enjoy great 3D graphics.  
6. Experience realistic car controls.  
7. Use accelerometer support for controls.","Desert Rally Racing 3D is a simple exploration game to find Water in the desert.

Realistic Car Controls, Accelerometer Supported.

Explore the desert in an Awesome Desert Rally Car.

- 2 game modes.
- Over 10 amazing levels to play.
- Excellent gameplay.
- Great 3D graphics.
- Lots of car racing fun!"
41131,"1. Protect your sun against enemies.
2. Contains two game modes.","1. Protect sun against enemies.  
2. Play two game modes.","Aura Defense is a free shooter game for your device. Your objective is to protect your sun against enemies.

The game contains two game modes"
41378,"1. Create colors, patterns, textures, and interior elements together.  
2. Showcase ultimate living room designs.  
3. Find stylish living room designs.  
4. Get inspired by decorating ideas.  
5. Modernize living with design ideas.","1. Create colors, patterns, textures, and interior elements for living room design.  
2. Showcase ultimate living room concepts.  
3. Find stylish living room designs.  
4. Discover foyers, furniture, paintings, curtains, and accessories.  
5. Explore modern living room design ideas with creative elements.","Living rooms define the nature of a home and the people reside in it
This App has some excellent ideas for the best design to create colors, patterns, textures, and interior elements together for showcasing ultimate living room
Get inspired by the living room decorating ideas
Find the most stylish living room designs, foyers, furniture, paintings, curtains and other accessories
This App will help you create the ultimate living room experience, as it has awesome and the latest design ideas with the best of creativity to modernize your living in a sterling manner"
41534,"1. View Stories  
2. View Arguments  
3. View Dockets  
4. View Issues","1. View featured stories
2. View latest news
3. View most popular stories
4. View arguments (Our View, Their View, Letters)
5. View dockets (Asbestos, Civil)
6. View issues","The Madison-St. Clair Record is a legal journal based in Edwardsville, Illinois.
We cover the Madison and St. Clair County Civil Courts.
The app allows you to view Stories (Featured, Latest News, Most Popular), Arguments (Our View, Their View, Letters), Dockets (Asbestos, Civil), and Issues."
41892,"1. Hold the ball in the lane.  
2. Compare your score with friend on the leaderboard.","1. Hold the ball in a moving lane.  
2. Compare scores with friends on a leaderboard.","Stay in lane is most addictive and endless runner game. You have to hold the ball in the black moving lane.
Extremely simple to play, just hold your finger on the screen and try to hold the ball in the lane as long as you can.
Compare your score with friend on the leaderboard"
42339,"1. Drive military vehicles  
2. Drive tanks  
3. Military missions","1. Drive military vehicles and tanks.  
2. Complete interesting military missions.","Be a real soldier in Military Simulator 2015. In this game you will need to drive military vehicles, tanks etc. Graphics are very realistic. You will do a lot of interesting military missions."
42375,"1. Destroy balls by forming pairs.  
2. Match two numbers to make a total.  
3. Destroy a group of same number balls.  
4. Challenge your friends.  
5. Lead the leader board.  
6. Compete the best scores.  
7. Teach you math calculation.","1. Learn math calculation in a fun way  
2. Destroy balls by forming pairs  
3. Match two numbers to make a required total  
4. Destroy groups of same number balls  
5. Challenge friends  
6. Lead the leaderboard  
7. Compete for the best scores","Learning math is no more difficult, this game will help you learn math calculation in a fun and interesting way.

Destroy balls by forming pairs or match two numbers to make a total required. This game will allow you to destroy a group of same number balls that makes the required sum. If you are a big fan of playing with numbers or if you want to learn or enhance your skills then this is the best game for you to have on your device all the time.

- Challenge your friends
- Lead the leader board
- Compete the best scores
- A game that teaches you"
42409,"1. Enjoy making selfies  
2. Share portraits of you  
3. Give and receive ratings on posted photos  
4. Get to meet people in your area  
5. Make friends and exchange messages","1. Make selfies  
2. Share portraits  
3. Give and receive ratings on photos  
4. Meet people in the area  
5. Make friends  
6. Exchange messages","• Enjoy making selfies
• Share portraits of you
• Give and receive ratings on posted photos
• Get to meet people in your area
• Make friends and exchange messages
• Have fun !"
42443,1. Tour of the President of Israel's house in Rehovot.,1. Tour the house of the first President of Israel.,"A tour of the house of the first President of Israel in Rehovot.
The house of the President Dr. Chaim Weizmann, and his wife Dr. Vera Weizmann, was designed in 1935 by the architect Erich Mendelsohn.
Dr. Weizmann chose to build his house next to the Sieff Institute, the institute for scientific research he established in 1934, that later became the Weizmann Institute of Science."
42453,1. Walk to drunken man without dropping,1. Walk to drunken man without dropping.,Can you walked to drunken man without dropping?
42457,"1. Design beautiful nails
2. Decorate nails easily","1. Design nail art  
2. Decorate nails","Go stylish everyday, This application is a almost a saloon for your nails. Beautiful designer nail is easy to design now. All you need to do is download this application and start decorating your Nails"
42657,"1. Change color of the ball  
2. Get additional color with dual button press  
3. Stay originally colored with no button press","1. Change color of the ball using a color button.  
2. Get additional color by pressing both buttons simultaneously.  
3. Stay in the original color by not pressing any button.","Crash Color Ball is the new addictive ball challenge game for you!

How to play-
Tap on color button to change color of the ball.
press both buttons simultaneously to get additional color
don't press on any button to stay originally colored"
42706,"1. Tap the Black Tile  
2. Listen to piano notes  
3. Don't Tap The White Tile  
4. Enjoy the Music","1. Tap the black tile.  
2. Listen to piano notes of Bollywood.  
3. Avoid tapping the white tile.","Tap The Black Tile Bollywood 1.3 APK description
Tap the Black tile and Listen to the piano notes of the Bollywood. Don't Tap The White Tile otherwise game will be over.

Enjoy the Music and Give us the good ratings."
42914,"1. Provides business advice from experts.  
2. Gives essential know-how for business success.  
3. Offers motivational guidance.  
4. Provides inspirational features.  
5. Helps readers become their own boss.  
6. Aids in turning business ideas into reality.","1. Provide sound business advice from experts.  
2. Offer essential know-how for business success.  
3. Deliver motivational guidance and inspirational features.  
4. Help readers become their own boss.  
5. Assist in turning business ideas into reality.","It contains sound business advice from experts and essential know-how aimed at giving each reader the edge to succeed in business. It also provides motivational guidance and inspirational features that give readers a framework for entrepreneurial success, helping readers become their own boss and turn their business ideas into reality."
43015,"1. Take the role of a scientist.  
2. Save the world in the game.  
3. Find 5 ancient artifacts.  
4. Locate the water artifact at Niagara Falls.  
5. Locate the fire artifact at Mauna Loa.  
6. Locate the sand artifact at the Great Pyramid of Giza.  
7. Locate the lightning artifact at Kingdom Tower in Jeddah.  
8. Locate the rock artifact at Ayers Rock.","1. Play a video game as a scientist.  
2. Find 5 ancient artifacts to save Earth.  
3. Navigate to Niagara Falls for the water artifact.  
4. Navigate to Mauna Loa for the fire artifact.  
5. Navigate to the Great Pyramid of Giza for the sand artifact.  
6. Navigate to Kingdom Tower in Jeddah for the lightning artifact.  
7. Navigate to Ayers Rock for the rock artifact.","It is a video game where you take the role of a scientist in a not so distant future where Earth is on the edge of extinction. Our main character has found a way to save the world, he only needs to find 5 ancient artifacts hidden wideworld in order to help us save our planet. these artifacts are:
the water artifact is hidden in Niagara Falls
the fire artifact is hidden in the volcano Mauna Loa
the sand artifact is hidden in the Great Pyramid of Giza
the lightning artifact is hidden in the Kingdom Tower in Jeddah
the rock artifact is hidden in Ayers Rock"
43233,"1. Stay in touch with child's school  
2. View news  
3. Access social network feeds  
4. Check food menus  
5. Purchase school uniform  
6. View events calendar  
7. Receive push notifications  
8. Stay updated on school issues  
9. Get school closure alerts  
10. Remember important dates","1. Stay in touch with child’s school  
2. Access news updates  
3. View social network feeds  
4. Check food menus  
5. Purchase school uniforms  
6. Browse events calendar  
7. Receive push notifications  
8. Get updates on school closures  
9. Stay informed about important dates","A bespoke smartphone application which allows parents to stay in touch with their child’s school.

The app has a number of features including news, social network feeds, food menus, uniform purchasing, events calendar, push notifications and much more.

The Phenix School App helps keep parents updated on school issues such as closures and important dates to remember."
43380,"1. Collect coins  
2. Avoid obstacles  
3. Compete with friends  
4. Longest distance  
5. Skill and concentration game","1. Collect coins  
2. Avoid obstacles  
3. Compete with friends for longest distance","Shark Happy Dive is a cool skill and concentration game!

Help Sharkie collect coins and avoid obstacles, go as far as you can and compete with friends for longest distance before going bust!"
43547,"1. Touch the egg  
2. Break the egg  
3. Play nine stages  
4. Break all eggs","1. Play a game with breaking eggs.  
2. Progress through nine stages.  
3. Discover what emerges from the egg.","Touch the egg, and break the egg!
This game has nine stage.
Break the all eggs!

What emerges from the egg?"
43576,"1. real-time flight arrival information  
2. real-time flight departure information  
3. provides information about parking  
4. provides information about airlines  
5. provides information about ground transportation  
6. provides information about dining options","1. Provide real-time flight arrival and departure information.  
2. Inform passengers about parking options.  
3. Provide information about airlines.  
4. Offer details on ground transportation.  
5. Share dining options at the Indianapolis International Airport.","Indianapolis International Airport's Official App features real-time flight arrival and departure information. The App also provides passengers information about parking, airlines, ground transportation and the dining options at the Indianapolis International Airport."
43583,"1. Discussion of progressive ideas  
2. Promotion of progressive policies  
3. Debate on party mission  
4. Spreading opportunity and wealth  
5. Marrying social justice with economic fairness","1. Promote radical and progressive politics.  
2. Discuss and promote progressive ideas and policies.  
3. Debate how the party can fulfil its mission.  
4. Spread opportunity and wealth in a modern setting.  
5. Marry social justice with economic fairness.","Progress, Labour’s new mainstream, is an independent organisation of Labour party members and trade unionists which aims to promote a radical and progressive politics. Progress Magazine is a monthly forum for the discussion and promotion of progressive ideas and policies within the Labour party. Hear from leading Labour figures, candidates, journalists, academics, historians and party members as we debate how the party can fulfil its historic mission of spreading opportunity and wealth in a modern setting, marrying social justice with economic fairness."
43696,"1. View your personal agenda  
2. View presenter information  
3. View workshop information  
4. View event details  
5. View facility map","1. View personal agenda  
2. Access presenter and workshop information  
3. Check event details  
4. View facility map","Download the Retirement Academy 2015 mobile app to view your personal agenda, presenter and workshop information, event details, facility map and more!
This year’s conference includes a balance of practice management and educational focused content created exclusively for financial advisors specializing in the retirement plan industry. At this event, you will learn about how our firm, in connection with our strategic partners, is creating better retirement outcomes for middle America. This conference will help you win and retain more retirement plan business, now and in the future.

The agenda provides specific product solutions, industry speakers and thought leadership tools with proven track records. Experts from the retirement plan industry will share their knowledge with you, but there will be plenty of time for you and your peers to share best practices, providing you the opportunity to refine your marketing techniques and sales strategies."
43888,"1. Navigate through current news and events.  
2. Check the latest updates with social media.  
3. Retrieve contact information.  
4. Check sporting scores.  
5. Access lunch menus.","1. Navigate through current news and events  
2. Check latest updates from social media  
3. Retrieve contact information  
4. View sporting scores  
5. Access lunch menus","With the Sachem CSD mobile app, your school district comes alive with the touch of a button. Easily navigate through current news and events or check out the latest updates with social media like Facebook and Twitter. Quickly retrieve contact information, sporting scores, lunch menus, and more! It’s your school district available at your fingertips."
43963,"1. Play maze game  
2. Find the way out from the maze  
3. Look for keys  
4. Open doors  
5. Solve the puzzle  
6. Find the Mrs  
7. Celebrate the victory of love  
8. Be attentive  
9. Remember where the right keys are  
10. Limited in time","1. Play maze game.  
2. Find the way out from the maze.  
3. Look for keys.  
4. Open doors.  
5. Solve the puzzle.  
6. Find the Mrs.  
7. Celebrate victory of love.","Play maze game! Find the way out from the maze. Look for keys, open doors, solve the puzzle, find the Mrs and celebrate the victory of love.
Be attentive, don`t lose your way and remember where the right keys are. You are limited in time."
44096,"1. Find fresh highlights on the home page.  
2. Explore news categories of interest.  
3. Read the Consul General's Twitter feed.  
4. Sign up to the SanFranciscoItaly newsletter.  
5. Get relevant news directly in your inbox.","1. Explore fresh highlights and news categories.  
2. Read the Consul General's active Twitter feed.  
3. Sign up for the SanFranciscoItaly newsletter.","Why SanFranciscoItaly?
This FREE app represents perspective from Italy's Consul General in San Francisco and details the rich exchange of culture, technology, people, events and more between the greater San Francisco area and Italy.
*Land on our home page to find fresh highlights and then explore other news category you are interested in.
*Read the Consul General's active Twitter feed.
*Sign up to the SanFranciscoItaly newsletter to get relevant news directly in your inbox every week.
Join us for our many social events held in San Francisco and other parts of the world."
44191,"1. Online booking  
2. Salon information  
3. Special offers","1. Online booking  
2. Provide salon information","Kudos Hairdressing - Pontyclun, South Wales.
This app provides online booking, salon information, special offers and more."
44220,1. Provide business information.,1. Provide business information.,"Salon Iris Salon

Download now for business information and more."
44235,"1. Provide online booking.  
2. Provide salon information.  
3. Provide special offers.","1. Online booking  
2. Provide salon information","The Cut Hair and Beauty Clinic, Worcester, UK.

This app provides online booking, salon information, special offers and more."
44288,"1. Find deals  
2. Plan a route  
3. Save favorite stores  
4. Play Spin & Win game  
5. Win credits and coupons","1. Find deals  
2. Plan a route to a favorite location  
3. Save favorite stores  
4. Play a Spin & Win game to win credits and coupons","Use the SavOn Store Finder app to find deals, plan a route to your favorite location, save your favorite stores, or play our Spin & Win game for chance to win credits and coupons!"
44344,"1. Place an order.  
2. View items.  
3. Redeem coupons.  
4. Provide direction.  
5. Get update promotion.  
6. Store order history.  
7. Store preference information.  
8. Secure online transactions.","1. Place an order  
2. View items  
3. Redeem various coupons  
4. Provide directions  
5. Get updates on promotions  
6. Store order history  
7. Save preference information for next purchases","Silk Thai is Huntington, Silk Thai Cuisine 's mobile application available for Android. The application is packed with many features. It enables user to place an order, view items, redeem our various coupons, provide direction, get update promotion and store order history including preference information for next purchases. It is also built from the high level of security with latest technology standard make any online transactions with us a breeze and secure. So if you are our fans or would like to try out our offering features. Grab this app and Enjoy!!"
44603,"1. Events  
2. News  
3. School Enews Newsletters  
4. Documents  
5. Push notification alerts","1. View school events  
2. Read school news  
3. Access school e-news newsletters  
4. Download school documents  
5. Receive push notification alerts","Mount Brown Public School, Skoolbag App for parent and student community. Download this App to be kept up to date with everything that is happening at MBPS. It features Events, News, School Enews Newsletters, Documents, and push notification alerts direct from the school."
44721,"1. Fight dangerous opponents.  
2. Accumulate powerful cards.  
3. Get paid for winning.  
4. Buy better cards.  
5. Many hours of exciting gameplay.","1. Accumulate a powerful card  
2. Get paid for winning  
3. Buy better cards  
4. Fight dangerous opponents  
5. Engage in exciting gameplay","A collectible card game (CCG), also called a trading card game (TCG) or customizable card game, is a card game that uses specially designed sets of playing cards.

In War Of Cards you have to fight dangerous opponents 11. To defeat them accumulate a powerful card, get paid for winning, buy better cards.

- More than a hundred cards
- Each card has an original design
- 11 evil enemies
- Many hours of exciting gameplay"
44839,"1. Bring berries to the other side by placing bubbles.  
2. Catch berries inside a bubble to slow them down.  
3. Score powerups by popping blue balloons.  
4. Save powerups for when things get hectic.  
5. Avoid the evil red balloons.  
6. Beat friends high scores.","1. Place bubbles underneath berries to bring them to the other side.  
2. Catch berries inside a bubble to slow them down and gain height.  
3. Score powerups by popping blue balloons.  
4. Avoid red balloons for instant punishment.  
5. Beat friends' high scores.","The pie and it's ecosystem needs saving, so Bounce some Berries!
* Bring the berries to the other side by placing bubbles underneath them.
* Catch berries inside a bubble to slow them down for a second, and gain some height instead.
* Score powerups by popping blue balloons and save them for when things get a bit hectic.
* Avoid the evil red ones which instead carry instant punishment.
* Beat your friends high scores."
44881,"1. Spoof your caller ID(number).  
2. Call pretending to be someone else.  
3. Play prank calls with any number.","1. Spoof caller ID (number).  
2. Display entered number and name from phonebook during call.  
3. Make calls pretending to be someone else (e.g., girlfriend, boss).  
4. Play pranks using any desired number.","Spoof your caller ID(number). When making a call, your friends will see the number you have entered and if the number is in their phonebook the phone will show the name stored with that number.
Call your friend pretending that you are his girlfriend.
Call your colleague pretending your are his boss.
Play a prank to your friends with any number that you want.
This is the best app for making funny calls."
44972,"1. Produced travel magazine  
2. Features leading travel writers and photographers  
3. Reports on curated trips and emerging destinations  
4. Provides insider tips and insights  
5. Features stories on trends in food and drink  
6. Features stories on style and interiors  
7. Focuses on luxury travel experience","1. Access travel magazine content.  
2. Read articles by leading travel writers.  
3. View photos by professional photographers.  
4. Explore curated trips and destinations.  
5. Gain insider tips and insights.  
6. Discover trends in food and drink.  
7. Explore trends in style and interiors.","A travel magazine produced for Scott Dunn, specialists in tailor-made luxury holidays around the world. The magazine features leading travel writers and photographers reporting on cleverly curated trips and emerging destinations, with the added depth throughout of insider tips and insights from Scott Dunn’s destination experts. Days Like This will also feature stories on trends in food and drink, style and interiors - all key elements of today's luxury travel experience.
The app is free to download and content within the app is also free of charge."
